ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1768002_s_at	0.0186	0.0001527	9.60	1.75251	1.28	tyrS///tyrS///tyrS///ECs2346	tyrosyl-tRNA synthetase///tyrosyl-tRNA synthetase///tyrosyl-tRNA synthetase///tyrosyl-tRNA synthetase
1769135_at	0.0186	0.00015277	9.60	1.75209	1.60	hypE	hydrogenase isoenzyme formation protein hypE
1766312_s_at	0.0186	0.00015524	9.57	1.73677	2.05	c1431///Z6054///Z2065///Z1349///Z3927///ECs2262///ECs2189///ECs3498///ECs1781	hypothetical protein///hypothetical protein///phage protein YjhS encoded within prophage CP-933O///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein
1767465_s_at	0.0186	0.00015537	9.57	1.73596	1.24	yfcE///yfcE///yfcE///ECs3184	phosphodiesterase///phosphodiesterase///phosphodiesterase activity on bis-pNPP///phosphodiesterase
AFFX-r2-Bs-lys-3_at	0.0186	0.00015722	9.55	1.72466	2.29		
1762726_s_at	0.0186	0.00016099	9.50	1.70199	1.27	mnmA///mnmA///mnmA///mnmA	tRNA-specific 2-thiouridylase MnmA///tRNA-specific 2-thiouridylase MnmA///tRNA(Gln,Lys,Glu) U34 2-thiouridylase///tRNA-specific 2-thiouridylase MnmA
1766676_s_at	0.0186	0.00016556	9.45	1.67517	1.29	glnP///glnP///glnP///glnP	glutamine ABC transporter permease///glutamine ABC transporter permease///glutamine transporter subunit///glutamine ABC transporter permease
1760222_s_at	0.0186	0.000166	-9.45	1.67261	-2.08		
1762197_s_at	0.0186	0.00016951	-9.41	1.65251	-1.23	Z5178///ECs4623	PTS component///PTS system arbutin-like IIC component
1766614_s_at	0.0186	0.00017037	-9.40	1.64765	-1.32	envR///envR///acrS///ECs4136	DNA-binding transcriptional regulator EnvR///DNA-binding transcriptional regulator EnvR///acrAB operon transcriptional repressor///acrEF/envCD operon repressor
1759388_at	0.0186	0.00017069	-9.39	1.64585	-1.41	c4656	hypothetical protein
1761767_s_at	0.0186	0.0001739	9.36	1.62795	1.23	ybjN///ybjN///ybjN///ECs0933	hypothetical protein///sensory transduction regulator///negative regulator of motility; multicopy suppressor of coaA(Ts)///sensory transduction regulator
1767367_x_at	0.0186	0.00017396	9.36	1.62758	1.70	ECs2230///ECs2157	hypothetical protein///hypothetical protein
1767380_s_at	0.0186	0.00017812	9.31	1.60482	1.28	ydjQ///cho	nucleotide excision repair endonuclease///endonuclease of nucleotide excision repair
1760988_s_at	0.0186	0.0001837	-9.26	1.57504	-1.36	yihF///yihF///yihF///ECs4784	hypothetical protein///hypothetical protein///DUF945 family protein///hypothetical protein
1765163_s_at	0.0186	0.00018389	9.25	1.57409	1.24	hemA///hemA///hemA	glutamyl-tRNA reductase///glutamyl tRNA reductase///glutamyl-tRNA reductase
1760778_s_at	0.0186	0.00018641	-9.23	1.56089	-1.30	yidL///yidL///yidL///ECs4621	transcriptional regulator YidL///AraC family transcriptional regulator///AraC family putative transcriptional regulator///AraC family transcriptional regulator
1760685_s_at	0.0186	0.0001881	-9.21	1.5522	-1.62		
1766406_s_at	0.0186	0.00018907	-9.20	1.5472	-1.23		
1764558_s_at	0.0186	0.00019008	-9.19	1.54206	-1.23	Z4773	hypothetical protein
1769110_s_at	0.0186	0.00019147	9.18	1.53499	1.34	c4069	hypothetical protein
1768566_at	0.0186	0.00019199	-9.18	1.53238	-1.48	ECs4593	hypothetical protein
1768901_s_at	0.0186	0.00019243	9.17	1.53014	1.39	fabH///fabH///fabH///ECs1469	3-oxoacyl-ACP synthase///3-oxoacyl-ACP synthase///3-oxoacyl-[acyl-carrier-protein] synthase III///3-oxoacyl-ACP synthase III
1765378_s_at	0.0186	0.00019369	-9.16	1.52383	-1.30	ompT///Z1931///ompT///ECs1663	outer membrane protease///outer membrane protease///DLP12 prophage; outer membrane protease VII; outer membrane protein 3b///outer membrane protease
1768230_s_at	0.0186	0.00020136	9.09	1.48613	1.28	c4084	hypothetical protein
1763824_s_at	0.0186	0.00020959	9.02	1.44716	1.48		
1767479_s_at	0.0186	0.00021307	8.99	1.43109	1.26	bioD///bioD///ynfK///bioD	dithiobiotin synthetase///dithiobiotin synthetase///putative dethiobiotin synthetase///dithiobiotin synthetase
1765638_s_at	0.0186	0.00022001	-8.93	1.3998	-1.40	yhdW///yhdW///yhdW///ECs4141	amino-acid ABC transporter binding protein yhdW///periplasmic binding transport protein///pseudo///periplasmic binding transport protein
1762582_s_at	0.0186	0.00022135	-8.92	1.3939	-1.35	c4226	hypothetical protein
1767545_at	0.0186	0.00022158	8.92	1.39287	1.36	c5455	hypothetical protein
1765171_s_at	0.0186	0.00022189	-8.91	1.39151	-1.23	pspG///pspG	phage shock protein G///phage shock protein G
1765678_at	0.0186	0.0002258	-8.88	1.37442	-1.45	setC	putative arabinose efflux transporter
1759606_s_at	0.0186	0.00022585	-8.88	1.37419	-1.24	mobB///mobB///mobB///ECs4779	molybdopterin-guanine dinucleotide biosynthesis protein B///molybdopterin-guanine dinucleotide biosynthesis protein B///molybdopterin-guanine dinucleotide biosynthesis protein B///molybdopterin-guanine dinucleotide biosynthesis protein B
1763486_s_at	0.0186	0.00022609	8.88	1.37318	1.32	yceD///yceD///yceD///ECs1466	hypothetical protein///hypothetical protein///DUF177 family protein///hypothetical protein
1769140_at	0.0186	0.00022765	-8.87	1.36643	-1.16	ompL	outer membrane porin L; putative sulpholipid porin
1762875_at	0.0186	0.00022772	8.87	1.36616	1.21	rfbC	dTDP-4-deoxyrhamnose-3,5-epimerase
1762176_s_at	0.0186	0.00023047	8.85	1.3544	1.30	c0864	hypothetical protein
1769167_s_at	0.0186	0.00023302	8.83	1.34361	1.18		
1760462_s_at	0.0186	0.00023382	8.82	1.34025	1.16	asnC///asnC///asnS///asnC	asparaginyl-tRNA synthetase///asparaginyl-tRNA synthetase///asparaginyl tRNA synthetase///asparaginyl-tRNA synthetase
1767455_s_at	0.0186	0.00023637	8.80	1.32959	1.23	purB///purB///purB///ECs1603	adenylosuccinate lyase///adenylosuccinate lyase///adenylosuccinate lyase///adenylosuccinate lyase
1763353_s_at	0.0186	0.00024156	-8.76	1.30828	-1.32		
1766970_s_at	0.0186	0.00024159	-8.76	1.30816	-1.20	yihO///yihO///ECs4798	permease///putative sulphoquinovose importer///permease
1764721_s_at	0.0186	0.00024389	-8.75	1.29884	-1.20	acrF///acrF_2///acrF	acriflavin resistance protein F///hypothetical protein///multidrug efflux system protein
1765684_at	0.0186	0.00024417	8.74	1.29773	1.31	nrdB	ribonucleoside-diphosphate reductase 1, beta subunit, ferritin-like protein
AFFX-PheX-5_at	0.0186	0.00024443	8.74	1.29666	1.14		
1768617_at	0.0186	0.00024482	-8.74	1.29508	-1.16	nlpA	cytoplasmic membrane lipoprotein-28
1768806_s_at	0.0186	0.00024496	-8.74	1.29455	-1.22		
1761959_s_at	0.0186	0.00024761	-8.72	1.28397	-1.20		
1760705_at	0.0186	0.00024995	-8.70	1.27468	-1.99	c4230	hypothetical protein
1763930_at	0.0186	0.00025286	8.68	1.26328	1.13	wbbJ	putative lipopolysaccharide biosynthesis O-acetyl transferase
1760117_at	0.0186	0.00025333	8.68	1.26148	1.73	yigN	DNA recombination protein RmuC
1761930_s_at	0.0186	0.00025417	-8.67	1.25819	-1.36		
1761524_s_at	0.0186	0.00026485	-8.60	1.21759	-1.14	yicJ///yicJ///yicJ///ECs4533	transporter///transporter///putative transporter///transporter
1760166_s_at	0.0186	0.00026499	8.60	1.21708	1.22	c4088	hypothetical protein
1762707_at	0.0186	0.0002654	-8.60	1.21554	-1.78	c4814	hypothetical protein
1759905_at	0.0186	0.00026662	-8.59	1.21101	-1.47	cbrB	PRK09823 family inner membrane protein, creBC regulon
1760031_s_at	0.0186	0.00026838	8.58	1.20452	1.21	ycfF///ycfF///hinT///ECs1481	purine nucleoside phosphoramidase///purine nucleoside phosphoramidase///purine nucleoside phosphoramidase, dadA activator protein///purine nucleoside phosphoramidase
1761137_s_at	0.0186	0.00027138	-8.56	1.19353	-1.75	malG///malG///malG///malG	maltose transporter permease///maltose ABC transporter permease///maltose transporter subunit///maltose transporter permease
1759785_at	0.0186	0.00027323	-8.55	1.18682	-1.12	c5065	hypothetical protein
1769228_s_at	0.0186	0.00027446	-8.54	1.18236	-1.31		
1764210_s_at	0.0186	0.00027614	-8.53	1.17631	-1.17	agaI///agaI///agaI	galactosamine-6-phosphate isomerase///galactosamine-6-phosphate isomerase///galactosamine-6-phosphate isomerase
1768546_at	0.0186	0.00027751	-8.52	1.17143	-1.18	c4689	hypothetical protein
1767373_s_at	0.0186	0.0002777	-8.52	1.17072	-1.35		
1762021_s_at	0.0186	0.00027947	-8.51	1.16444	-1.51	frvA///frvA///ECs4826	fructose-like phosphotransferase system subunit EIIA///putative enzyme IIA component of PTS///fructose-like phosphotransferase system subunit EIIA
1759478_at	0.0186	0.00028276	-8.49	1.15284	-1.43	yjbM	uncharacterized protein
1767742_s_at	0.0186	0.00028307	-8.49	1.15176	-1.12		
1762997_s_at	0.0186	0.00028604	-8.47	1.14142	-1.27		
AFFX-LysX-M_at	0.0186	0.00028645	8.47	1.13998	2.23		
1762924_s_at	0.0186	0.00029207	8.44	1.12071	1.46	yeeA///yeeA///yeeA///ECs2810	hypothetical protein///hypothetical protein///putative transporter, FUSC family inner membrane protein///hypothetical protein
1759651_s_at	0.0186	0.00029782	-8.40	1.10133	-1.12	yhhZ///yhhZ	hypothetical protein///putative Hcp1 family polymorphic toxin protein; putative colicin-like DNase/tRNase activity
1764486_s_at	0.0186	0.00029879	8.40	1.0981	1.19		
1764421_s_at	0.0186	0.00029884	-8.40	1.09792	-1.26		
1769179_s_at	0.0186	0.0003024	-8.38	1.08614	-1.11	yicL///yicL///yicL///ECs4594	transport protein YicL///permease transporter///EamA family inner membrane putative transporter///permease transporter
1762365_s_at	0.0186	0.00030412	-8.37	1.08052	-2.07		
1760942_s_at	0.0186	0.0003091	-8.34	1.06434	-1.18		
1767222_at	0.0186	0.00030981	-8.34	1.06206	-1.50	c4720	hypothetical protein
1762374_s_at	0.0186	0.00031027	-8.33	1.06059	-1.16	rhaT///rhaT///rhaT	rhamnose-proton symporter///rhamnose transport///L-rhamnose:proton symporter
1759626_s_at	0.0186	0.00031117	-8.33	1.05769	-1.27		
1763230_s_at	0.0186	0.00031152	8.33	1.05657	1.25	c2839	hypothetical protein
1761168_s_at	0.0186	0.00031251	-8.32	1.05341	-1.09	yidZ///yidZ///yidZ///ECs4648	DNA-binding transcriptional regulator YidZ///DNA-binding transcriptional regulator YidZ///putative DNA-binding transcriptional regulator///DNA-binding transcriptional regulator YidZ
1763819_s_at	0.0186	0.00031268	-8.32	1.05286	-1.09	aslA///aslA///ECs4731	arylsulfatase///putative Ser-type periplasmic non-aryl sulfatase///arylsulfatase
1763638_s_at	0.0186	0.0003127	8.32	1.05281	1.31	rplT///rplT///rplT///rplT	50S ribosomal protein L20///50S ribosomal protein L20///50S ribosomal subunit protein L20///50S ribosomal protein L20
AFFX-r2-Bs-phe-5_at	0.0186	0.00031432	8.31	1.04766	1.21		
1760726_s_at	0.0186	0.00031889	-8.29	1.03324	-1.14	c4645	hypothetical protein
1766949_s_at	0.0186	0.00032084	8.28	1.02716	1.24	hslV///hslV	ATP-dependent protease peptidase subunit///peptidase component of the HslUV protease
1769284_s_at	0.0186	0.00032088	-8.28	1.02705	-1.32	srlE///srlE_2///srlE	PTS system, glucitol/sorbitol-specific IIBC component///PTS system, glucitol/sorbitol-specific IIB component and second of two IIC components; frag///glucitol/sorbitol-specific enzyme IIB component of PTS
1766495_s_at	0.0186	0.00032203	-8.27	1.02347	-1.25		
1766361_s_at	0.0186	0.00032348	-8.26	1.01897	-1.48		
1759470_s_at	0.0186	0.00032447	-8.26	1.01595	-1.19	bglB///bglB	6-phospho-beta-glucosidase///cryptic phospho-beta-glucosidase B
1764214_s_at	0.0186	0.00032468	8.26	1.01529	1.25		
1765839_s_at	0.0186	0.00032615	8.25	1.01077	1.27	plsX///plsX///plsX///ECs1468	glycerol-3-phosphate acyltransferase PlsX///glycerol-3-phosphate acyltransferase PlsX///putative phosphate acyltransferase///glycerol-3-phosphate acyltransferase PlsX
1763390_s_at	0.0186	0.00032808	-8.24	1.00488	-1.11	Z3401///preT///ECs3038	oxidoreductase///dihydropyrimidine dehydrogenase, NADH-dependent, subunit N///oxidoreductase
1765143_s_at	0.0186	0.00033031	8.23	0.99811	1.20		
1761129_s_at	0.0186	0.00033128	-8.22	0.99519	-1.21		
1766847_s_at	0.0186	0.00033162	8.22	0.99417	1.10	uidR///uidR///uidR///ECs2326	uid operon repressor///repressor for uid operon///transcriptional repressor///repressor for uid operon
1767935_at	0.0186	0.00033172	-8.22	0.99386	-1.10	Z5187	hypothetical protein
1759447_s_at	0.0186	0.00033359	-8.21	0.98822	-1.09		
1766260_s_at	0.0186	0.00033467	8.21	0.98499	1.23	tsx///tsx///ECs0464	nucleoside channel phage T6/colicin K receptor///nucleoside channel, receptor of phage T6 and colicin K///nucleoside-specific channel-forming protein Tsx
1766607_s_at	0.0186	0.00033922	-8.18	0.97148	-1.21	yjgN///yjgN///ECs5234	hypothetical protein///DUF898 family inner membrane protein///hypothetical protein
1767082_s_at	0.0186	0.00034872	-8.14	0.9438	-1.25		
1760754_s_at	0.0186	0.00035309	8.12	0.93131	1.14	c3139///smpA///bamE///ECs3479	hypothetical protein///small membrane protein A///lipoprotein component of BamABCDE OM biogenesis complex///small membrane protein A
1760684_s_at	0.0186	0.00035515	-8.11	0.92549	-1.64	malF///malF///malF///malF	maltose transporter membrane protein///maltose transporter membrane protein///maltose transporter subunit///maltose transporter membrane protein
1764793_at	0.0186	0.00035776	8.10	0.91813	1.10	wbbI	d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase
1766930_s_at	0.0186	0.00035852	-8.09	0.91602	-1.11	yafF///Z0857///Z0700///Z0271///yhhI///ydcC///ybfL///ECs0731///ECs0602///ECs0241	pseudo///receptor///receptor///hypothetical protein///putative transposase///H repeat-associated putative transposase///pseudo///H repeat-containing protein///H repeat-containing protein///H repeat-containing protein
1764737_s_at	0.0186	0.0003606	8.08	0.91022	1.08	prc///prc///prc///ECs2540	carboxy-terminal protease///carboxy-terminal protease///carboxy-terminal protease for penicillin-binding protein 3///carboxy-terminal protease
AFFX-LysX-3_at	0.0186	0.00036233	8.08	0.90539	2.23		
1763792_at	0.0186	0.00036284	-8.07	0.904	-1.24	php	phosphotriesterase homology protein
1763422_s_at	0.0186	0.00036503	8.06	0.89795	1.13	c3139///bamE	hypothetical protein///lipoprotein component of BamABCDE OM biogenesis complex
1769220_s_at	0.0186	0.00036615	-8.06	0.89486	-1.22		
1767376_at	0.0186	0.00036673	8.06	0.89327	1.21	maeB	malic enzyme: putative oxidoreductase/phosphotransacetylase
1764729_s_at	0.0186	0.00036831	-8.05	0.88896	-1.24		
1759119_s_at	0.0186	0.0003696	-8.04	0.88544	-1.16		
1763774_s_at	0.0186	0.00036968	-8.04	0.88521	-1.13	yheE///gspC	general secretion pathway protein C///general secretory pathway component, cryptic
1761684_s_at	0.0186	0.00037569	8.02	0.86899	1.08	recR///recR///recR///recR	recombination protein RecR///recombination protein RecR///gap repair protein///recombination protein RecR
1760575_s_at	0.0186	0.00037571	-8.02	0.86894	-1.91	yjaA///yjaA	hypothetical protein///stress-induced protein
1759475_at	0.0186	0.00037717	-8.01	0.86503	-2.06	c4860	hypothetical protein
1766610_s_at	0.0186	0.00037756	-8.01	0.86399	-1.32		
1760078_s_at	0.0186	0.00037823	-8.01	0.8622	-1.21		
1766232_s_at	0.0186	0.00037848	-8.01	0.86155	-1.27	acrF_1///acrF	hypothetical protein///multidrug efflux system protein
1768919_s_at	0.0186	0.00037912	8.00	0.85985	1.56	sdaC///sdaC///sdaC///ECs3656	Serine transporter///serine transporter///putative serine transporter///serine transporter
1768494_s_at	0.0186	0.00038556	7.98	0.84289	1.10	prfB///prfB///prfB///prfB	RF-2///peptide chain release factor 2///peptide chain release factor RF-2///peptide chain release factor 2
1765868_s_at	0.0186	0.00038721	7.97	0.83859	1.86	c1464///Z6032///ECs2237	tail fiber component K of prophage///tail assembly protein of cryptic prophage CP-933P///tail assembly protein
1768271_s_at	0.0186	0.00039312	7.94	0.82332	1.18	c4067	hypothetical protein
1769267_s_at	0.0186	0.00039334	7.94	0.82276	1.07	ydiU///Z2735///ydiU///ECs2413	hypothetical protein///hypothetical protein///UPF0061 family protein///hypothetical protein
1762664_s_at	0.0186	0.00039477	-7.94	0.81908	-1.30	yicO///Z5154///adeQ///ECs4601	hypothetical protein///hypothetical protein///adenine permease, high affinity; adenine:H+ symporter///hypothetical protein
1761643_s_at	0.0186	0.00039544	7.93	0.81738	1.10	topB///topB///ECs2469	DNA topoisomerase III///DNA topoisomerase III///DNA topoisomerase III
1759532_s_at	0.0186	0.00039805	-7.92	0.81073	-1.09		
1761699_s_at	0.0186	0.0003997	-7.92	0.80657	-1.20		
1759562_s_at	0.0186	0.00039973	7.92	0.80648	1.15	dcp///dcp///ECs2147	dipeptidyl carboxypeptidase II///dipeptidyl carboxypeptidase II///dipeptidyl carboxypeptidase II
1760644_s_at	0.0186	0.00039981	7.92	0.80629	1.05		
1764728_s_at	0.0186	0.00040087	-7.91	0.80361	-1.11		
1767138_s_at	0.0186	0.000401	-7.91	0.80328	-1.09	yidJ///yidJ///yidJ///ECs4619	sulfatase yidJ///sulfatase///sulfatase/phosphatase superfamily protein///sulfatase
1766351_s_at	0.0186	0.00040182	7.91	0.80122	1.20	Z3101///Z6049///Z2118///Z1798///Z1354///Z3336///ECs2257///ECs1966///ECs2966///ECs1786	endopeptidase of prophage CP-933U///endopeptidase encoded by cryptic prophage CP-933U///endopeptidase Rz of prophage CP-933O///endopeptidase of prophage CP-933N///endopeptidase of cryptic prophage CP-933M///endopeptidase Rz for prophage CP-933V///endopeptidase///endopeptidase///endopeptidase///endopeptidase
1763634_s_at	0.0186	0.00040186	-7.91	0.80113	-1.18		
1766650_s_at	0.0186	0.00040271	-7.91	0.79899	-1.14	sbp///sbp///sbp///ECs4842	sulfate transporter subunit///sulfate transporter subunit///sulfate transporter subunit///sulfate transporter subunit
1766510_s_at	0.0186	0.00040534	-7.90	0.79242	-1.71		
1761333_s_at	0.0186	0.00040791	-7.88	0.78603	-1.40	yhdU///yhdU///yhdU///ECs4135	hypothetical protein///hypothetical protein///putative membrane protein///transporter
1760591_s_at	0.0186	0.00040811	-7.88	0.78554	-1.31		
1761560_s_at	0.0186	0.00040953	-7.88	0.78203	-2.01		
1767695_s_at	0.0186	0.0004104	-7.88	0.77989	-1.18	yraI///yraI///ECs4021	chaperone///putative periplasmic pilin chaperone///chaperone
1764775_s_at	0.0186	0.0004114	7.87	0.77742	1.11	yqgB///yqgB///yqgB///ECs3815	hypothetical protein///hypothetical protein///uncharacterized protein///hypothetical protein
1759435_at	0.0186	0.0004117	-7.87	0.77668	-1.03	yieH	phosphoenolpyruvate and 6-phosphogluconate phosphatase
